UniqueCount	AmbigCount
0	0
0	0
2	6
1	5
4	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
440	159
0	102
12	76
0	0
0	0
116	1411
3	887
16	1101
4	726
123	285
8	36
49	368
3	544
2	0
0	0
50	9
0	0
0	0
9	1
0	0
3	22
1	1
0	0
0	0
0	84
3	249
54	430
1	58
0	279
28	43
1	203
0	65
9	1
1	0
5	498
864	888
0	500
0	178
2	168
5	493
0	305
96	80
0	342
114	2593
3	2509
0	117
1	0
1	6
0	6
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	939
6	1476
16	255
36	953
4	135
0	64
0	1241
1	397
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
20	6
244	67
0	18
0	0
0	41
0	96
46	2643
0	34
1	19
0	782
0	2435
6	260
2	1051
13	19
0	293
3	15
5	72
2	369
66	30
1	639
16	3
0	5
0	0
0	14
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	397
0	0
0	0
0	0
0	0
0	0
483	3231
4	226
0	2
0	2169
0	557
1	106
56	3065
3	2991
0	0
16	0
0	141
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	3
0	3
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	46
0	0
0	0
0	0
0	19
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
582	78
11	268
4	256
0	11
0	26
3	213
90	28
1	22
39	12
5	18
0	19
3	4280
1	0
0	0
33	30
1	26
0	0
0	2
0	8
1578	209
0	41
0	0
0	0
0	0
0	41
0	0
0	41
0	41
1	641
1	637
0	666
1	8
1	458
1	528
0	641
0	12
1	40
0	518
13	20
26	71
0	23
0	0
0	44
0	83
0	72
0	61
0	120
0	113
3	66
0	42
0	42
0	69
0	108
0	27
0	101
0	49
0	1
0	30
0	16
0	32
0	97
1	5
0	106
0	45
0	26
0	0
0	2
0	0
0	1
1	0
0	2
0	0
11	47
0	47
0	0
0	3
2	35
2	40
0	20
0	14
0	20
0	0
2	2
0	0
96	997
0	433
19	600
0	306
84	614
3	182
7	161
1	0
0	10
153	808
14	37
0	31
0	105
0	5
2	114
4	111
0	25
2	105
0	27
0	22
3	645
0	19
69	18
2	39
3	19
4	27
1	29
0	3
0	8
3	189
4	6
34	54
7	13
9	155
0	0
2059	2378
0	340
6	377
17	105
0	3
1	1328
1	39
0	172
0	0
1	0
0	0
0	0
0	0
0	0
0	0
