UniqueCount	AmbigCount
0	0
0	0
0	1
1	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
2	0
427	138
1	82
26	66
0	0
0	0
162	1705
9	1090
32	1334
3	838
156	315
5	39
59	399
1	600
2	0
0	0
37	6
0	0
0	0
5	1
0	0
4	11
0	0
0	0
0	0
0	90
13	223
48	413
1	68
0	267
29	37
2	166
0	47
9	2
6	0
0	408
917	732
0	413
0	150
1	110
11	400
0	251
64	77
0	294
100	2495
1	2410
0	103
0	0
0	6
0	6
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	928
17	1514
18	222
19	914
6	79
1	39
0	1316
0	349
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	1
228	34
0	6
0	0
0	33
0	79
79	2429
0	30
0	8
0	587
0	2258
5	202
0	1068
20	12
1	251
0	17
3	68
7	396
69	27
0	669
11	3
0	1
0	0
0	11
0	4
0	4
0	4
0	0
0	0
0	1
0	0
0	0
0	4
0	0
0	0
0	0
0	1
0	0
0	0
0	312
0	0
0	0
0	0
0	0
0	0
505	3059
2	180
0	2
0	2019
0	446
5	59
44	2934
9	2861
0	0
13	3
0	82
0	0
0	0
0	0
4	1
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	36
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
453	77
17	263
3	252
0	6
0	22
5	206
87	30
1	23
56	24
0	23
1	25
1	3554
3	0
0	0
34	21
1	15
0	1
1	1
0	4
1365	160
0	46
0	0
1	0
0	0
0	46
0	0
0	46
0	46
4	561
0	545
0	577
1	2
0	399
0	471
0	562
1	3
0	21
0	449
18	18
27	67
0	18
0	0
0	34
0	71
0	66
0	44
0	88
0	97
4	55
0	36
0	31
0	46
0	94
0	25
0	77
0	42
0	2
2	28
0	15
0	28
0	83
1	6
0	83
0	38
2	23
0	0
0	3
0	1
0	2
0	0
0	2
0	0
12	29
0	29
0	0
1	12
6	40
4	43
0	14
3	17
0	17
0	0
5	0
0	0
83	1022
1	448
16	610
0	295
69	579
7	165
12	134
4	0
1	3
214	803
13	18
0	15
0	86
0	11
3	91
7	96
0	16
0	90
0	18
0	5
1	620
0	22
94	30
5	40
6	14
8	20
3	25
0	6
0	7
1	187
2	3
23	56
6	6
4	204
0	0
1905	1856
0	319
9	304
12	86
0	8
0	962
2	13
0	78
0	0
2	0
0	0
0	0
0	0
0	0
0	0
