UniqueCount	AmbigCount
0	0
0	0
1	11
0	10
2	6
0	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
3	0
0	0
0	0
0	0
0	0
1	0
378	104
0	66
14	56
1	0
1	0
97	1094
10	715
18	842
6	595
96	245
2	29
38	304
3	385
2	0
0	0
38	4
0	0
0	0
6	0
0	0
0	20
1	0
0	0
0	0
0	128
12	376
87	628
0	62
0	388
40	64
3	333
0	98
17	0
7	0
0	602
1182	1106
0	607
0	228
0	173
9	636
0	381
60	88
2	437
141	3033
2	2916
0	115
0	0
0	5
0	5
0	3
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	988
14	1654
29	260
18	1028
4	151
0	54
6	1401
1	414
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	1
0	0
19	0
261	34
1	6
0	1
0	35
0	75
64	2831
0	32
1	17
0	706
0	2631
4	228
0	1271
16	23
0	365
5	21
0	81
3	407
72	40
0	729
20	0
1	7
0	0
0	8
0	3
0	3
0	3
0	0
0	0
0	2
0	2
0	0
0	3
0	0
0	1
0	1
0	0
0	0
0	0
1	444
0	0
0	0
0	0
0	0
1	0
526	3491
5	217
0	4
0	2322
0	576
0	103
35	3299
11	3258
0	0
9	1
0	262
0	0
0	0
0	0
6	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	2
0	2
0	4
0	2
0	1
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	60
0	0
0	0
0	0
0	27
0	2
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
744	86
18	297
2	289
0	6
0	24
8	243
45	22
1	18
47	14
0	18
0	15
6	5306
8	0
0	0
62	49
6	43
0	3
1	7
0	4
1587	196
0	22
0	0
2	2
0	2
0	22
0	2
0	22
0	22
5	693
2	679
0	714
0	3
0	482
0	577
1	692
0	4
0	29
0	540
18	22
45	76
0	15
0	0
0	35
1	144
0	87
0	90
0	136
0	163
1	79
1	79
0	48
0	82
0	125
0	35
0	113
0	93
0	7
0	74
0	25
0	75
0	113
0	12
0	125
0	86
0	54
0	4
0	4
0	4
0	4
0	4
0	0
0	0
9	43
0	41
1	0
0	9
1	28
0	31
0	13
1	12
0	10
0	0
3	1
0	0
105	1450
3	585
21	824
0	405
91	855
6	199
17	205
3	0
0	7
181	844
10	22
0	18
0	88
0	13
3	92
1	100
0	27
0	100
0	25
0	14
4	707
0	24
44	26
5	49
2	22
3	28
4	37
0	2
0	15
0	218
8	8
23	57
3	16
6	131
0	0
2325	2306
0	385
5	423
14	85
0	8
0	1169
1	30
0	140
0	0
1	0
0	0
0	0
0	0
0	0
