UniqueCount	AmbigCount
0	0
0	0
2	6
2	2
4	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
2	0
417	99
0	75
17	56
3	0
1	0
128	1212
5	775
10	975
3	605
112	251
5	28
37	306
2	452
5	0
0	0
40	4
0	0
0	0
3	0
0	0
0	7
2	0
0	0
0	0
0	83
8	233
41	387
0	46
0	226
25	27
1	181
0	50
16	0
7	0
0	356
952	675
0	359
0	136
1	113
9	411
0	213
68	51
0	245
139	2560
1	2488
0	112
1	0
1	12
0	12
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	874
16	1460
20	228
19	879
3	112
0	52
4	1270
1	378
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
0	0
21	3
185	17
2	6
0	0
0	35
0	83
64	2376
1	23
0	12
0	619
0	2194
4	178
0	1032
13	14
0	294
2	17
4	71
5	348
53	23
0	628
9	0
0	2
0	0
0	4
0	3
0	3
0	3
0	0
0	0
0	3
0	3
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	311
0	0
0	0
0	0
0	0
3	0
560	3041
2	183
0	5
0	2079
0	481
3	84
33	2922
4	2878
0	0
18	0
0	123
0	0
0	0
0	0
2	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
1	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	63
0	0
0	0
0	0
0	16
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
493	49
10	311
8	293
0	12
1	24
4	229
61	22
0	13
45	10
3	14
0	13
2	3966
3	0
0	0
21	20
2	17
0	2
0	4
0	1
1426	84
0	21
0	0
1	1
0	1
0	21
0	0
0	21
0	21
3	661
0	650
0	681
0	1
1	481
1	558
1	660
0	9
0	31
0	543
18	21
31	58
0	10
0	0
0	25
0	83
0	57
0	56
0	92
0	106
1	47
0	46
0	33
0	54
0	86
0	23
0	78
0	52
0	4
0	37
0	12
0	38
0	75
0	9
0	88
0	51
0	33
0	0
0	4
0	1
0	2
0	0
0	2
0	0
15	52
0	52
0	0
1	1
2	27
1	28
0	16
0	18
0	14
0	0
2	0
0	0
84	1007
3	436
17	553
0	276
65	575
4	136
8	135
0	0
0	1
186	649
10	19
0	15
0	86
0	4
1	93
8	82
0	11
1	83
0	11
0	12
4	526
0	19
37	7
1	26
2	12
3	21
2	18
0	0
0	9
0	159
11	2
26	46
4	15
5	113
0	0
2081	1940
0	304
4	346
10	97
0	5
2	1082
2	24
0	126
0	0
0	0
0	0
0	0
0	0
0	0
0	0
