UniqueCount	AmbigCount
0	0
0	0
2	3
3	3
2	1
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
2	1
0	0
0	0
0	0
0	0
2	0
397	116
0	67
12	57
2	0
0	0
118	1505
12	971
17	1155
7	772
118	317
8	52
43	384
3	517
9	1
0	0
73	8
0	0
0	0
3	1
0	0
3	21
5	0
0	0
0	0
0	106
11	309
54	529
5	65
0	316
25	63
5	261
0	74
6	2
15	3
1	532
977	992
0	539
0	190
0	151
8	579
0	327
59	106
3	371
138	2981
0	2887
0	124
0	0
1	8
1	8
0	3
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1074
11	1723
16	243
22	1109
2	121
0	57
3	1461
0	430
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	1
0	0
32	1
314	36
1	3
0	0
0	44
0	98
77	2762
0	37
0	12
0	731
0	2540
3	208
1	1198
25	17
0	352
4	15
1	94
3	389
87	32
0	760
17	4
0	5
0	0
0	13
0	1
0	1
0	1
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	399
0	0
0	0
0	0
0	0
1	0
610	3535
5	222
0	1
0	2368
0	582
4	99
40	3368
8	3300
0	0
16	3
0	198
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	72
0	0
0	0
0	0
0	19
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
600	94
18	361
6	349
0	19
0	25
4	277
84	25
0	13
46	11
2	18
0	18
6	4776
2	1
0	0
37	39
5	31
0	1
0	0
0	7
1527	208
0	39
0	0
0	0
0	0
0	39
0	0
0	40
0	40
4	722
1	715
0	745
1	4
0	533
1	611
2	722
0	7
1	39
0	591
18	26
28	79
0	16
0	0
0	26
1	84
0	56
0	57
0	93
0	102
4	49
0	46
0	27
0	50
0	81
0	18
0	76
0	47
0	3
0	41
0	14
0	41
0	73
0	15
0	90
0	46
0	34
0	1
0	2
0	1
0	1
0	1
0	1
0	0
4	47
0	47
0	0
0	3
5	27
0	29
0	14
1	10
1	15
0	0
6	0
0	0
70	1138
0	487
15	713
0	347
74	692
4	194
7	195
1	0
0	10
173	915
17	23
0	19
0	94
0	3
0	100
4	95
0	18
0	95
0	17
0	14
3	734
0	24
53	11
2	41
2	23
3	29
0	15
0	7
0	6
0	226
4	4
22	62
4	14
4	193
0	0
2259	2189
0	373
3	393
7	94
0	8
3	1060
0	28
0	127
0	0
1	0
0	0
0	0
0	0
0	0
