UniqueCount	AmbigCount
0	0
0	0
0	3
0	3
3	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
2	0
478	139
0	87
17	59
0	0
0	0
146	1503
4	982
21	1179
5	759
118	300
3	40
55	383
1	524
0	0
0	0
84	6
0	0
0	0
3	1
0	0
0	14
0	0
0	0
0	0
0	83
2	261
51	428
2	57
0	258
21	48
1	228
0	53
9	1
8	1
1	352
840	739
0	358
0	135
0	91
5	433
0	229
83	78
0	255
111	2253
3	2190
0	94
0	1
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	871
13	1440
21	172
35	878
1	95
0	33
0	1248
0	325
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	0
12	1
242	35
0	10
0	0
2	33
0	67
67	2212
1	21
0	6
0	514
0	2051
1	147
1	984
13	18
2	277
5	11
2	71
4	333
76	24
1	664
18	3
1	3
0	0
0	10
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	380
0	0
0	0
0	0
0	0
0	0
431	2810
2	149
1	3
0	1846
0	443
0	68
38	2657
4	2650
0	0
15	2
0	111
0	0
0	0
0	0
3	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	1
0	0
0	0
0	1
0	0
0	0
1	0
0	0
0	0
0	46
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	11
0	0
1	0
0	0
0	0
0	0
0	0
0	0
3	0
519	53
12	261
5	253
0	6
0	20
6	202
52	19
2	16
45	16
2	18
0	13
4	3979
3	0
0	0
91	58
0	50
0	4
3	2
0	10
1227	115
0	43
0	0
0	0
0	0
0	43
0	0
0	43
0	43
3	539
0	526
0	552
2	2
0	381
0	445
0	540
0	10
0	33
0	432
15	19
30	81
0	13
0	0
0	30
1	115
0	75
0	85
0	139
0	140
1	69
1	71
0	43
0	83
0	116
0	36
0	111
0	81
1	2
0	50
0	18
0	54
0	105
1	6
0	125
0	77
0	37
0	0
0	0
0	0
0	0
0	0
1	0
0	0
8	36
0	36
1	0
0	7
1	42
7	44
0	20
1	15
0	23
0	0
3	1
0	0
114	1084
2	485
9	622
0	311
80	615
10	171
8	165
2	0
0	3
212	780
15	15
0	12
0	83
0	5
1	84
4	91
0	12
0	85
0	9
0	5
3	643
0	19
48	23
5	46
6	23
6	29
0	25
0	1
0	6
0	206
13	5
28	73
6	8
6	147
0	0
1954	1583
0	285
1	307
11	54
1	8
0	746
1	34
0	102
0	0
3	0
0	0
0	0
0	0
0	0
0	0
